src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,packet_count,byte_count,packets_per_second,bytes_per_second,mean_packet_size,std_packet_size,mean_interarrival,std_interarrival,cv_interarrival,dst_port_count,dst_host_count,dst_connection_count,src_dst_byte_ratio,dns_query_length,dns_entropy,label
192.168.1.101,8.8.8.8,21240,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,828,40,0.0,0.0,BENIGN
192.168.1.101,8.8.8.8,21194,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,828,40,0.0,0.0,BENIGN
192.168.1.101,8.8.8.8,16837,53,17,1e-06,1,60,1000000.0,60000000.0,60.0,0.0,0.0,0.0,0.0,3,3,828,60,15.0,2.8225797618424915,BENIGN
192.168.1.100,10.0.0.5,4973,53,17,1e-06,1,60,1000000.0,60000000.0,60.0,0.0,0.0,0.0,0.0,3,3,855,60,15.0,2.8225797618424915,BENIGN
192.168.1.100,8.8.8.8,46873,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,816,40,0.0,0.0,BENIGN
192.168.1.100,8.8.8.8,6483,53,17,1e-06,1,60,1000000.0,60000000.0,60.0,0.0,0.0,0.0,0.0,3,3,816,60,15.0,2.8225797618424915,BENIGN
192.168.1.101,8.8.8.8,25000,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,828,40,0.0,0.0,BENIGN
192.168.1.101,8.8.8.8,28443,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,828,40,0.0,0.0,BENIGN
192.168.1.101,10.0.0.5,21291,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,833,40,0.0,0.0,BENIGN
192.168.1.101,1.1.1.1,28554,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,816,40,0.0,0.0,BENIGN
192.168.1.100,10.0.0.5,56984,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,855,40,0.0,0.0,BENIGN
192.168.1.100,1.1.1.1,35248,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,843,40,0.0,0.0,BENIGN
192.168.1.101,1.1.1.1,47538,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,816,40,0.0,0.0,BENIGN
192.168.1.100,1.1.1.1,35548,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,843,40,0.0,0.0,BENIGN
192.168.1.100,10.0.0.5,31823,53,17,1e-06,1,60,1000000.0,60000000.0,60.0,0.0,0.0,0.0,0.0,3,3,855,60,15.0,2.8225797618424915,BENIGN
192.168.1.101,8.8.8.8,20159,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,828,40,0.0,0.0,BENIGN
192.168.1.101,8.8.8.8,31726,53,17,1e-06,1,60,1000000.0,60000000.0,60.0,0.0,0.0,0.0,0.0,3,3,828,60,15.0,2.8225797618424915,BENIGN
192.168.1.101,8.8.8.8,30353,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,828,40,0.0,0.0,BENIGN
192.168.1.100,8.8.8.8,8167,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,816,40,0.0,0.0,BENIGN
192.168.1.100,8.8.8.8,35582,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,816,40,0.0,0.0,BENIGN
192.168.1.101,10.0.0.5,21957,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,833,40,0.0,0.0,BENIGN
192.168.1.101,10.0.0.5,56498,53,17,1e-06,1,60,1000000.0,60000000.0,60.0,0.0,0.0,0.0,0.0,3,3,833,60,15.0,2.8225797618424915,BENIGN
192.168.1.100,8.8.8.8,49836,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,816,40,0.0,0.0,BENIGN
192.168.1.100,8.8.8.8,9161,53,17,1e-06,1,60,1000000.0,60000000.0,60.0,0.0,0.0,0.0,0.0,3,3,816,60,15.0,2.8225797618424915,BENIGN
192.168.1.100,8.8.8.8,1214,80,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,816,40,0.0,0.0,BENIGN
192.168.1.101,10.0.0.5,47478,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,833,40,0.0,0.0,BENIGN
192.168.1.100,1.1.1.1,64960,443,6,1e-06,1,40,1000000.0,40000000.0,40.0,0.0,0.0,0.0,0.0,3,3,843,40,0.0,0.0,BENIGN
