src_ip,dst_ip,src_port,dst_port,protocol,prediction
192.168.1.101,8.8.8.8,21240,80,6,BENIGN
192.168.1.101,8.8.8.8,21194,443,6,BENIGN
192.168.1.101,8.8.8.8,16837,53,17,BENIGN
192.168.1.100,10.0.0.5,4973,53,17,BENIGN
192.168.1.100,8.8.8.8,46873,443,6,BENIGN
192.168.1.100,8.8.8.8,6483,53,17,BENIGN
192.168.1.101,8.8.8.8,25000,80,6,BENIGN
192.168.1.101,8.8.8.8,28443,80,6,BENIGN
192.168.1.101,10.0.0.5,21291,80,6,BENIGN
192.168.1.101,1.1.1.1,28554,443,6,BENIGN
192.168.1.100,10.0.0.5,56984,80,6,BENIGN
192.168.1.100,1.1.1.1,35248,443,6,BENIGN
192.168.1.101,1.1.1.1,47538,443,6,BENIGN
192.168.1.100,1.1.1.1,35548,443,6,BENIGN
192.168.1.100,10.0.0.5,31823,53,17,BENIGN
192.168.1.101,8.8.8.8,20159,80,6,BENIGN
192.168.1.101,8.8.8.8,31726,53,17,BENIGN
192.168.1.101,8.8.8.8,30353,443,6,BENIGN
192.168.1.100,8.8.8.8,8167,443,6,BENIGN
192.168.1.100,8.8.8.8,35582,443,6,BENIGN
192.168.1.101,10.0.0.5,21957,80,6,BENIGN
192.168.1.101,10.0.0.5,56498,53,17,BENIGN
192.168.1.100,8.8.8.8,49836,80,6,BENIGN
192.168.1.100,8.8.8.8,9161,53,17,BENIGN
192.168.1.100,8.8.8.8,1214,80,6,BENIGN
192.168.1.101,10.0.0.5,47478,443,6,BENIGN
192.168.1.100,1.1.1.1,64960,443,6,BENIGN
192.168.1.100,8.8.8.8,11990,53,17,BENIGN
192.168.1.100,1.1.1.1,60767,53,17,BENIGN
192.168.1.101,1.1.1.1,6524,53,17,BENIGN
192.168.1.100,10.0.0.5,54619,80,6,BENIGN
192.168.1.100,1.1.1.1,51518,443,6,BENIGN
192.168.1.101,8.8.8.8,58405,53,17,BENIGN
192.168.1.100,1.1.1.1,28912,53,17,BENIGN
192.168.1.100,8.8.8.8,14035,53,17,BENIGN
192.168.1.101,10.0.0.5,62563,443,6,BENIGN
192.168.1.100,8.8.8.8,36952,53,17,BENIGN
192.168.1.100,1.1.1.1,53667,443,6,BENIGN
192.168.1.101,10.0.0.5,34100,443,6,BENIGN
192.168.1.101,10.0.0.5,54266,80,6,BENIGN
192.168.1.100,1.1.1.1,32293,80,6,BENIGN
192.168.1.100,1.1.1.1,13906,443,6,BENIGN
192.168.1.101,10.0.0.5,27079,80,6,BENIGN
192.168.1.100,10.0.0.5,48331,443,6,BENIGN
192.168.1.101,1.1.1.1,2854,53,17,BENIGN
192.168.1.101,1.1.1.1,54623,80,6,BENIGN
192.168.1.101,10.0.0.5,34840,80,6,BENIGN
192.168.1.100,8.8.8.8,7230,53,17,BENIGN
192.168.1.101,8.8.8.8,7420,443,6,BENIGN
192.168.1.100,1.1.1.1,35980,53,17,BENIGN
192.168.1.101,10.0.0.5,14224,80,6,BENIGN
192.168.1.100,8.8.8.8,13794,443,6,BENIGN
192.168.1.100,8.8.8.8,2755,80,6,BENIGN
192.168.1.100,1.1.1.1,58043,53,17,BENIGN
192.168.1.101,1.1.1.1,64742,80,6,BENIGN
192.168.1.101,10.0.0.5,14847,80,6,BENIGN
192.168.1.100,1.1.1.1,59693,80,6,BENIGN
192.168.1.100,1.1.1.1,32701,53,17,BENIGN
192.168.1.100,10.0.0.5,58389,80,6,BENIGN
192.168.1.100,10.0.0.5,17254,80,6,BENIGN
192.168.1.101,10.0.0.5,15253,53,17,BENIGN
192.168.1.101,10.0.0.5,9105,53,17,BENIGN
192.168.1.100,1.1.1.1,41637,443,6,BENIGN
192.168.1.100,1.1.1.1,65049,443,6,BENIGN
192.168.1.101,10.0.0.5,10544,53,17,BENIGN
192.168.1.101,1.1.1.1,55365,443,6,BENIGN
192.168.1.100,8.8.8.8,14000,443,6,BENIGN
192.168.1.101,10.0.0.5,61190,80,6,BENIGN
192.168.1.100,8.8.8.8,33262,443,6,BENIGN
192.168.1.100,1.1.1.1,59429,80,6,BENIGN
192.168.1.100,8.8.8.8,49653,80,6,BENIGN
192.168.1.100,1.1.1.1,54650,53,17,BENIGN
192.168.1.100,10.0.0.5,48103,443,6,BENIGN
192.168.1.100,10.0.0.5,3459,53,17,BENIGN
192.168.1.100,8.8.8.8,52268,53,17,BENIGN
192.168.1.101,1.1.1.1,13207,80,6,BENIGN
192.168.1.100,10.0.0.5,8518,53,17,BENIGN
192.168.1.101,10.0.0.5,37541,443,6,BENIGN
192.168.1.100,1.1.1.1,29276,443,6,BENIGN
192.168.1.101,1.1.1.1,25967,53,17,BENIGN
192.168.1.100,1.1.1.1,9293,443,6,BENIGN
192.168.1.100,1.1.1.1,15937,443,6,BENIGN
192.168.1.101,1.1.1.1,30971,53,17,BENIGN
192.168.1.100,10.0.0.5,64894,53,17,BENIGN
192.168.1.101,1.1.1.1,40496,80,6,BENIGN
192.168.1.100,10.0.0.5,10621,443,6,BENIGN
192.168.1.101,8.8.8.8,7797,80,6,BENIGN
192.168.1.100,8.8.8.8,39310,443,6,BENIGN
192.168.1.101,1.1.1.1,59182,53,17,BENIGN
192.168.1.100,8.8.8.8,29292,80,6,BENIGN
192.168.1.100,10.0.0.5,60510,80,6,BENIGN
192.168.1.101,8.8.8.8,53984,80,6,BENIGN
192.168.1.100,8.8.8.8,35649,443,6,BENIGN
192.168.1.100,1.1.1.1,39982,80,6,BENIGN
192.168.1.101,8.8.8.8,27041,443,6,BENIGN
192.168.1.101,8.8.8.8,53284,443,6,BENIGN
192.168.1.101,10.0.0.5,34005,80,6,BENIGN
192.168.1.100,10.0.0.5,31434,443,6,BENIGN
192.168.1.100,10.0.0.5,64287,53,17,BENIGN
192.168.1.101,10.0.0.5,3007,53,17,BENIGN
192.168.1.101,10.0.0.5,5756,443,6,BENIGN
192.168.1.101,10.0.0.5,35483,80,6,BENIGN
192.168.1.100,1.1.1.1,17052,80,6,BENIGN
192.168.1.101,10.0.0.5,52959,80,6,BENIGN
192.168.1.100,10.0.0.5,7356,53,17,BENIGN
192.168.1.101,10.0.0.5,48653,80,6,BENIGN
192.168.1.100,8.8.8.8,31549,80,6,BENIGN
192.168.1.101,1.1.1.1,17135,53,17,BENIGN
192.168.1.100,10.0.0.5,8721,443,6,BENIGN
192.168.1.100,8.8.8.8,7126,443,6,BENIGN
192.168.1.100,1.1.1.1,52694,443,6,BENIGN
192.168.1.100,10.0.0.5,24347,443,6,BENIGN
192.168.1.101,8.8.8.8,27833,443,6,BENIGN
192.168.1.100,8.8.8.8,39220,80,6,BENIGN
192.168.1.100,10.0.0.5,10959,53,17,BENIGN
192.168.1.100,10.0.0.5,53588,53,17,BENIGN
192.168.1.100,10.0.0.5,27513,443,6,BENIGN
192.168.1.101,8.8.8.8,30979,443,6,BENIGN
192.168.1.101,1.1.1.1,28643,80,6,BENIGN
192.168.1.100,8.8.8.8,12821,80,6,BENIGN
192.168.1.101,10.0.0.5,2094,443,6,BENIGN
192.168.1.100,1.1.1.1,42623,443,6,BENIGN
192.168.1.100,1.1.1.1,59591,80,6,BENIGN
192.168.1.100,10.0.0.5,40635,443,6,BENIGN
192.168.1.100,10.0.0.5,6903,53,17,BENIGN
192.168.1.100,1.1.1.1,31711,53,17,BENIGN
192.168.1.101,10.0.0.5,25321,53,17,BENIGN
192.168.1.100,10.0.0.5,51046,80,6,BENIGN
192.168.1.101,10.0.0.5,28205,80,6,BENIGN
192.168.1.101,8.8.8.8,45292,53,17,BENIGN
192.168.1.100,10.0.0.5,42935,80,6,BENIGN
192.168.1.101,1.1.1.1,58344,80,6,BENIGN
192.168.1.100,8.8.8.8,16882,80,6,BENIGN
192.168.1.100,1.1.1.1,48485,53,17,BENIGN
192.168.1.100,10.0.0.5,10725,443,6,BENIGN
192.168.1.101,1.1.1.1,8734,80,6,BENIGN
192.168.1.100,8.8.8.8,15825,80,6,BENIGN
192.168.1.100,10.0.0.5,44407,53,17,BENIGN
192.168.1.101,10.0.0.5,3782,53,17,BENIGN
192.168.1.100,1.1.1.1,20175,443,6,BENIGN
192.168.1.101,8.8.8.8,14363,80,6,BENIGN
192.168.1.100,8.8.8.8,32572,80,6,BENIGN
192.168.1.101,1.1.1.1,29404,443,6,BENIGN
192.168.1.101,1.1.1.1,1427,53,17,BENIGN
192.168.1.101,8.8.8.8,58081,53,17,BENIGN
192.168.1.100,10.0.0.5,63513,53,17,BENIGN
192.168.1.100,8.8.8.8,11835,443,6,BENIGN
192.168.1.101,8.8.8.8,41285,53,17,BENIGN
192.168.1.101,10.0.0.5,56603,80,6,BENIGN
192.168.1.100,8.8.8.8,54672,80,6,BENIGN
192.168.1.101,8.8.8.8,24989,80,6,BENIGN
192.168.1.100,8.8.8.8,2842,53,17,BENIGN
192.168.1.100,10.0.0.5,36561,80,6,BENIGN
192.168.1.101,1.1.1.1,61769,80,6,BENIGN
192.168.1.100,1.1.1.1,30812,80,6,BENIGN
192.168.1.101,8.8.8.8,51087,53,17,BENIGN
192.168.1.100,10.0.0.5,18589,443,6,BENIGN
192.168.1.101,8.8.8.8,23941,53,17,BENIGN
192.168.1.101,10.0.0.5,22207,80,6,BENIGN
192.168.1.101,10.0.0.5,48365,443,6,BENIGN
192.168.1.101,1.1.1.1,25073,53,17,BENIGN
192.168.1.101,8.8.8.8,32169,53,17,BENIGN
192.168.1.101,1.1.1.1,45355,53,17,BENIGN
192.168.1.101,10.0.0.5,39955,443,6,BENIGN
192.168.1.101,1.1.1.1,9909,53,17,BENIGN
192.168.1.101,8.8.8.8,13718,443,6,BENIGN
192.168.1.101,8.8.8.8,61403,80,6,BENIGN
192.168.1.100,8.8.8.8,60811,443,6,BENIGN
192.168.1.100,10.0.0.5,16639,80,6,BENIGN
192.168.1.100,1.1.1.1,4774,80,6,BENIGN
192.168.1.101,8.8.8.8,7223,80,6,BENIGN
192.168.1.100,10.0.0.5,11313,443,6,BENIGN
192.168.1.100,10.0.0.5,23744,53,17,BENIGN
192.168.1.101,8.8.8.8,58138,443,6,BENIGN
192.168.1.101,10.0.0.5,63896,53,17,BENIGN
192.168.1.100,8.8.8.8,2525,80,6,BENIGN
192.168.1.101,10.0.0.5,44477,80,6,BENIGN
192.168.1.100,1.1.1.1,48740,53,17,BENIGN
192.168.1.100,8.8.8.8,40346,80,6,BENIGN
192.168.1.100,10.0.0.5,4763,443,6,BENIGN
192.168.1.101,1.1.1.1,58685,443,6,BENIGN
192.168.1.100,8.8.8.8,26483,53,17,BENIGN
192.168.1.100,10.0.0.5,39851,443,6,BENIGN
192.168.1.100,10.0.0.5,45972,443,6,BENIGN
192.168.1.100,8.8.8.8,14972,80,6,BENIGN
192.168.1.101,1.1.1.1,4493,53,17,BENIGN
192.168.1.100,8.8.8.8,60316,53,17,BENIGN
192.168.1.100,8.8.8.8,10819,53,17,BENIGN
192.168.1.101,1.1.1.1,15918,53,17,BENIGN
192.168.1.100,10.0.0.5,43737,53,17,BENIGN
192.168.1.101,8.8.8.8,55712,443,6,BENIGN
192.168.1.101,8.8.8.8,39419,443,6,BENIGN
192.168.1.100,8.8.8.8,43698,53,17,BENIGN
192.168.1.100,10.0.0.5,33902,80,6,BENIGN
192.168.1.101,10.0.0.5,23337,80,6,BENIGN
192.168.1.100,8.8.8.8,1049,53,17,BENIGN
192.168.1.100,8.8.8.8,19208,443,6,BENIGN
192.168.1.100,8.8.8.8,40609,443,6,BENIGN
192.168.1.100,8.8.8.8,46304,443,6,BENIGN
192.168.1.101,10.0.0.5,38294,443,6,BENIGN
192.168.1.100,10.0.0.5,57743,53,17,BENIGN
