src_ip,dst_ip,src_port,dst_port,protocol,prediction
192.168.1.50,185.20.10.5,15016,80,6,C2_BEACON
192.168.1.50,185.20.10.5,18898,80,6,C2_BEACON
192.168.1.50,185.20.10.5,41610,80,6,C2_BEACON
192.168.1.50,185.20.10.5,62613,80,6,C2_BEACON
192.168.1.50,185.20.10.5,42741,80,6,C2_BEACON
192.168.1.50,185.20.10.5,45779,80,6,C2_BEACON
192.168.1.50,185.20.10.5,54658,80,6,C2_BEACON
192.168.1.50,185.20.10.5,15938,80,6,C2_BEACON
192.168.1.50,185.20.10.5,5041,80,6,C2_BEACON
192.168.1.50,185.20.10.5,57274,80,6,C2_BEACON
192.168.1.50,185.20.10.5,43061,80,6,C2_BEACON
192.168.1.50,185.20.10.5,32840,80,6,C2_BEACON
192.168.1.50,185.20.10.5,4714,80,6,C2_BEACON
192.168.1.50,185.20.10.5,43402,80,6,C2_BEACON
192.168.1.50,185.20.10.5,23907,80,6,C2_BEACON
192.168.1.50,185.20.10.5,30126,80,6,C2_BEACON
192.168.1.50,185.20.10.5,49904,80,6,C2_BEACON
192.168.1.50,185.20.10.5,50250,80,6,C2_BEACON
192.168.1.50,185.20.10.5,17765,80,6,C2_BEACON
192.168.1.50,185.20.10.5,43175,80,6,C2_BEACON
192.168.1.50,185.20.10.5,23655,80,6,C2_BEACON
192.168.1.50,185.20.10.5,19189,80,6,C2_BEACON
192.168.1.50,185.20.10.5,4578,80,6,C2_BEACON
192.168.1.50,185.20.10.5,22335,80,6,C2_BEACON
192.168.1.50,185.20.10.5,2571,80,6,C2_BEACON
192.168.1.50,185.20.10.5,10886,80,6,C2_BEACON
192.168.1.50,185.20.10.5,13124,80,6,C2_BEACON
192.168.1.50,185.20.10.5,18755,80,6,C2_BEACON
192.168.1.50,185.20.10.5,46555,80,6,C2_BEACON
192.168.1.50,185.20.10.5,44501,80,6,C2_BEACON
192.168.1.50,185.20.10.5,34308,80,6,C2_BEACON
192.168.1.50,185.20.10.5,25838,80,6,C2_BEACON
192.168.1.50,185.20.10.5,49847,80,6,C2_BEACON
192.168.1.50,185.20.10.5,44097,80,6,C2_BEACON
192.168.1.50,185.20.10.5,24963,80,6,C2_BEACON
192.168.1.50,185.20.10.5,10385,80,6,C2_BEACON
192.168.1.50,185.20.10.5,49906,80,6,C2_BEACON
192.168.1.50,185.20.10.5,52152,80,6,C2_BEACON
192.168.1.50,185.20.10.5,28145,80,6,C2_BEACON
192.168.1.50,185.20.10.5,38791,80,6,C2_BEACON
192.168.1.50,185.20.10.5,24078,80,6,C2_BEACON
192.168.1.50,185.20.10.5,45309,80,6,C2_BEACON
192.168.1.50,185.20.10.5,11362,80,6,C2_BEACON
192.168.1.50,185.20.10.5,60750,80,6,C2_BEACON
192.168.1.50,185.20.10.5,11850,80,6,C2_BEACON
192.168.1.50,185.20.10.5,59570,80,6,C2_BEACON
192.168.1.50,185.20.10.5,46748,80,6,C2_BEACON
192.168.1.50,185.20.10.5,10205,80,6,C2_BEACON
192.168.1.50,185.20.10.5,31861,80,6,C2_BEACON
192.168.1.50,185.20.10.5,18451,80,6,C2_BEACON
192.168.1.50,185.20.10.5,45098,80,6,C2_BEACON
192.168.1.50,185.20.10.5,54445,80,6,C2_BEACON
192.168.1.50,185.20.10.5,37134,80,6,C2_BEACON
192.168.1.50,185.20.10.5,23746,80,6,C2_BEACON
192.168.1.50,185.20.10.5,29715,80,6,C2_BEACON
192.168.1.50,185.20.10.5,47943,80,6,C2_BEACON
192.168.1.50,185.20.10.5,16072,80,6,C2_BEACON
192.168.1.50,185.20.10.5,54017,80,6,C2_BEACON
