src_ip,dst_ip,src_port,dst_port,protocol,prediction
192.168.1.50,8.8.8.8,5598,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,31230,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,42143,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,20755,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,5746,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,50090,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,16044,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,59285,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,35665,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,59857,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,40598,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,59598,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,58280,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,3875,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,51988,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,50740,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,35019,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,16771,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,18178,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,61484,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,26863,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,33854,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,11110,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,27355,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,53319,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,41757,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,55919,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,59394,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,8805,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,29995,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,55029,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,25559,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,49265,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,10782,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,13555,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,58221,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,40997,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,37142,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,36172,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,11528,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,29010,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,10208,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,22680,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,19618,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,33649,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,40132,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,51195,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,7616,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,61263,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,7026,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,9912,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,9362,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,33116,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,58326,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,16098,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,51524,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,65319,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,12083,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,35996,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,16383,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,32382,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,65140,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,30696,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,63756,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,56896,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,44577,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,59225,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,63636,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,38203,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,50138,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,46291,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,47573,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,26393,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,59198,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,34184,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,45715,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,25532,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,19863,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,45252,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,63445,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,1449,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,56920,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,52496,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,2742,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,49568,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,35386,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,57481,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,31991,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,40866,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,57374,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,8861,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,57267,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,37641,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,52970,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,30505,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,23672,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,12888,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,57199,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,8703,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,54138,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,21532,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,60629,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,36794,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,63266,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,11766,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,32994,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,48027,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,5374,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,22763,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,27195,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,19222,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,52605,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,29703,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,41456,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,56274,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,14872,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,35570,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,22057,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,19551,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,28895,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,23446,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,59089,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,31288,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,15463,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,23702,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,30444,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,17939,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,59735,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,61851,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,36747,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,61771,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,61779,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,52904,53,17,DNS_TUNNEL
192.168.1.50,8.8.8.8,24503,53,17,DNS_TUNNEL
