src_ip,dst_ip,src_port,dst_port,protocol,prediction
192.168.1.50,10.0.0.5,56915,625,6,PORT_SCAN
192.168.1.50,10.0.0.5,57575,895,6,PORT_SCAN
192.168.1.50,10.0.0.5,54949,956,6,PORT_SCAN
192.168.1.50,10.0.0.5,37383,161,6,PORT_SCAN
192.168.1.50,10.0.0.5,42338,41,6,PORT_SCAN
192.168.1.50,10.0.0.5,32094,558,6,PORT_SCAN
192.168.1.50,10.0.0.5,29064,777,6,PORT_SCAN
192.168.1.50,10.0.0.5,5734,544,6,PORT_SCAN
192.168.1.50,10.0.0.5,10933,122,6,PORT_SCAN
192.168.1.50,10.0.0.5,39963,91,6,PORT_SCAN
192.168.1.50,10.0.0.5,3005,575,6,PORT_SCAN
192.168.1.50,10.0.0.5,3740,977,6,PORT_SCAN
192.168.1.50,10.0.0.5,42416,348,6,PORT_SCAN
192.168.1.50,10.0.0.5,41960,775,6,PORT_SCAN
192.168.1.50,10.0.0.5,45732,424,6,PORT_SCAN
192.168.1.50,10.0.0.5,54877,351,6,PORT_SCAN
192.168.1.50,10.0.0.5,23362,426,6,PORT_SCAN
192.168.1.50,10.0.0.5,21107,7,6,PORT_SCAN
192.168.1.50,10.0.0.5,52769,1020,6,PORT_SCAN
192.168.1.50,10.0.0.5,18578,890,6,PORT_SCAN
192.168.1.50,10.0.0.5,51515,552,6,PORT_SCAN
192.168.1.50,10.0.0.5,28218,590,6,PORT_SCAN
192.168.1.50,10.0.0.5,32766,944,6,PORT_SCAN
192.168.1.50,10.0.0.5,11679,162,6,PORT_SCAN
192.168.1.50,10.0.0.5,26911,516,6,PORT_SCAN
192.168.1.50,10.0.0.5,61654,568,6,PORT_SCAN
192.168.1.50,10.0.0.5,28012,867,6,PORT_SCAN
192.168.1.50,10.0.0.5,51752,435,6,PORT_SCAN
192.168.1.50,10.0.0.5,57172,8,6,PORT_SCAN
192.168.1.50,10.0.0.5,19132,599,6,PORT_SCAN
192.168.1.50,10.0.0.5,63618,360,6,PORT_SCAN
192.168.1.50,10.0.0.5,44243,440,6,PORT_SCAN
192.168.1.50,10.0.0.5,59517,853,6,PORT_SCAN
192.168.1.50,10.0.0.5,35979,417,6,PORT_SCAN
192.168.1.50,10.0.0.5,26694,336,6,PORT_SCAN
192.168.1.50,10.0.0.5,56781,662,6,PORT_SCAN
192.168.1.50,10.0.0.5,7634,251,6,PORT_SCAN
192.168.1.50,10.0.0.5,37907,63,6,PORT_SCAN
192.168.1.50,10.0.0.5,16065,136,6,PORT_SCAN
192.168.1.50,10.0.0.5,46073,427,6,PORT_SCAN
192.168.1.50,10.0.0.5,52271,720,6,PORT_SCAN
192.168.1.50,10.0.0.5,3216,851,6,PORT_SCAN
192.168.1.50,10.0.0.5,24846,133,6,PORT_SCAN
192.168.1.50,10.0.0.5,42023,373,6,PORT_SCAN
192.168.1.50,10.0.0.5,44468,628,6,PORT_SCAN
192.168.1.50,10.0.0.5,39680,639,6,PORT_SCAN
192.168.1.50,10.0.0.5,30593,185,6,PORT_SCAN
192.168.1.50,10.0.0.5,37519,849,6,PORT_SCAN
192.168.1.50,10.0.0.5,28002,401,6,PORT_SCAN
192.168.1.50,10.0.0.5,35773,139,6,PORT_SCAN
192.168.1.50,10.0.0.5,12547,909,6,PORT_SCAN
192.168.1.50,10.0.0.5,24509,6,6,PORT_SCAN
192.168.1.50,10.0.0.5,6442,784,6,PORT_SCAN
192.168.1.50,10.0.0.5,62374,821,6,PORT_SCAN
192.168.1.50,10.0.0.5,29448,715,6,PORT_SCAN
192.168.1.50,10.0.0.5,26369,78,6,PORT_SCAN
192.168.1.50,10.0.0.5,65428,680,6,PORT_SCAN
192.168.1.50,10.0.0.5,40212,481,6,PORT_SCAN
192.168.1.50,10.0.0.5,17277,342,6,PORT_SCAN
192.168.1.50,10.0.0.5,18949,805,6,PORT_SCAN
192.168.1.50,10.0.0.5,7835,959,6,PORT_SCAN
192.168.1.50,10.0.0.5,31750,479,6,PORT_SCAN
192.168.1.50,10.0.0.5,20932,694,6,PORT_SCAN
192.168.1.50,10.0.0.5,20347,703,6,PORT_SCAN
192.168.1.50,10.0.0.5,5314,916,6,PORT_SCAN
192.168.1.50,10.0.0.5,53455,569,6,PORT_SCAN
192.168.1.50,10.0.0.5,1880,241,6,PORT_SCAN
192.168.1.50,10.0.0.5,45587,103,6,PORT_SCAN
192.168.1.50,10.0.0.5,40159,207,6,PORT_SCAN
192.168.1.50,10.0.0.5,16800,751,6,PORT_SCAN
192.168.1.50,10.0.0.5,2199,259,6,PORT_SCAN
192.168.1.50,10.0.0.5,63270,398,6,PORT_SCAN
192.168.1.50,10.0.0.5,24982,918,6,PORT_SCAN
192.168.1.50,10.0.0.5,47544,601,6,PORT_SCAN
192.168.1.50,10.0.0.5,48510,583,6,PORT_SCAN
192.168.1.50,10.0.0.5,16593,3306,6,PORT_SCAN
192.168.1.50,10.0.0.5,25555,955,6,PORT_SCAN
192.168.1.50,10.0.0.5,65093,749,6,PORT_SCAN
192.168.1.50,10.0.0.5,20472,138,6,PORT_SCAN
