src_ip,dst_ip,src_port,dst_port,protocol,prediction
155.240.149.136,10.0.0.5,63538,80,6,SYN_FLOOD
178.250.165.226,10.0.0.5,15107,80,6,SYN_FLOOD
79.23.243.234,10.0.0.5,24681,80,6,SYN_FLOOD
116.100.188.41,10.0.0.5,50246,80,6,SYN_FLOOD
154.57.156.180,10.0.0.5,64736,80,6,SYN_FLOOD
210.116.248.137,10.0.0.5,49921,80,6,SYN_FLOOD
228.80.100.62,10.0.0.5,47387,80,6,SYN_FLOOD
168.4.66.168,10.0.0.5,7411,80,6,SYN_FLOOD
74.157.108.58,10.0.0.5,21658,80,6,SYN_FLOOD
86.245.55.40,10.0.0.5,14800,80,6,SYN_FLOOD
224.202.34.203,10.0.0.5,64732,80,6,SYN_FLOOD
114.83.138.240,10.0.0.5,18066,80,6,SYN_FLOOD
168.176.101.123,10.0.0.5,42159,80,6,SYN_FLOOD
88.210.247.234,10.0.0.5,15345,80,6,SYN_FLOOD
139.107.183.117,10.0.0.5,43904,80,6,SYN_FLOOD
143.75.24.227,10.0.0.5,26339,80,6,SYN_FLOOD
65.81.252.224,10.0.0.5,58173,80,6,SYN_FLOOD
138.179.83.138,10.0.0.5,28980,80,6,SYN_FLOOD
37.47.226.81,10.0.0.5,13577,80,6,SYN_FLOOD
84.222.214.236,10.0.0.5,14390,80,6,SYN_FLOOD
19.73.105.117,10.0.0.5,9788,80,6,SYN_FLOOD
158.80.166.127,10.0.0.5,36284,80,6,SYN_FLOOD
96.202.199.11,10.0.0.5,33225,80,6,SYN_FLOOD
183.209.172.90,10.0.0.5,13339,80,6,SYN_FLOOD
219.9.201.27,10.0.0.5,64529,80,6,SYN_FLOOD
61.122.92.97,10.0.0.5,29127,80,6,SYN_FLOOD
131.8.123.89,10.0.0.5,14512,80,6,SYN_FLOOD
71.224.33.126,10.0.0.5,59544,80,6,SYN_FLOOD
188.238.54.38,10.0.0.5,21960,80,6,SYN_FLOOD
39.44.129.240,10.0.0.5,61440,80,6,SYN_FLOOD
159.25.1.112,10.0.0.5,62908,80,6,SYN_FLOOD
67.234.235.104,10.0.0.5,48815,80,6,SYN_FLOOD
153.151.178.159,10.0.0.5,16854,80,6,SYN_FLOOD
60.183.67.169,10.0.0.5,40993,80,6,SYN_FLOOD
